code,display,definition,synonyms,category
N0001,Amalaki,Ayurvedic formulation derived from Emblica officinalis,Amla;Indian Gooseberry,Dravya
N0002,Haritaki,Ayurvedic formulation used for digestion,Terminalia chebula,Dravya
N0003,Ashwagandha,Adaptogenic herb used in Ayurveda,Withania somnifera,Dravya
N0004,Triphala,Polyherbal formulation used for gut health,Amalaki-Haritaki-Bibhitaki,Formulation
N0005,Bibhitaki,Herbal drug used for respiratory disorders,Terminalia bellirica,Dravya
N0006,Brahmi,Herb used to improve memory and cognition,Bacopa monnieri,Dravya
N0007,Guduchi,Immunomodulatory Ayurvedic herb,Tinospora cordifolia,Dravya
N0008,Shatavari,Herb used for reproductive health,Asparagus racemosus,Dravya
N0009,Yashtimadhu,Herbal drug used for gastric disorders,Licorice;Glycyrrhiza glabra,Dravya
N0010,Nimba,Herbal drug with antimicrobial properties,Neem;Azadirachta indica,Dravya
N0011,Arjuna,Herbal drug beneficial for cardiac health,Terminalia arjuna,Dravya
N0012,Guggulu,Resin used for inflammatory conditions,Commiphora mukul,Dravya
N0013,Pippali,Herb used to enhance digestion,Long pepper,Dravya
N0014,Maricha,Herb used to stimulate metabolism,Black pepper,Dravya
N0015,Shunthi,Dried ginger used in digestive disorders,Zingiber officinale,Dravya
N0016,Dashamoola,Group of ten roots used in inflammation,Ten roots formulation,Formulation
N0017,Chyawanprash,Classical rejuvenative formulation,Chyavan avaleha,Formulation
N0018,Trikatu,Combination of three pungent herbs,Pippali-Maricha-Shunthi,Formulation
N0019,Avipattikara,Formulation used in hyperacidity,Pitta balancing formulation,Formulation
N0020,Hingvashtaka,Formulation for digestive disorders,Hing based formulation,Formulation
N0021,Lodhra,Herbal drug used in gynecological disorders,Symplocos racemosa,Dravya
N0022,Manjistha,Blood purifier herb,Rubia cordifolia,Dravya
N0023,Katuki,Herb used in liver disorders,Picrorhiza kurroa,Dravya
N0024,Bhallataka,Herbal drug used cautiously in therapy,Semecarpus anacardium,Dravya
N0025,Vacha,Herb used for speech and cognition,Acorus calamus,Dravya
N0026,Chitraka,Herbal drug for digestive stimulation,Plumbago zeylanica,Dravya
N0027,Musta,Herb used in diarrhea and fever,Cyperus rotundus,Dravya
N0028,Ativisha,Herb used in pediatric disorders,Aconitum heterophyllum,Dravya
N0029,Bael,Herb used for diarrhea,Bilva;Aegle marmelos,Dravya
N0030,Eranda,Herb used as purgative,Castor oil plant,Dravya
N0031,Punarnava,Herb used for edema and kidney disorders,Boerhavia diffusa,Dravya
N0032,Lasuna,Herb used for cardiovascular health,Garlic,Dravya
N0033,Tulasi,Herb used for respiratory disorders,Holy basil,Dravya
N0034,Bala,Herb used for strength and vitality,Sida cordifolia,Dravya
N0035,Kapikacchu,Herb used for neurological health,Mucuna pruriens,Dravya
N0036,Shankhapushpi,Herb used to enhance intellect,Convolvulus pluricaulis,Dravya
N0037,Jatamansi,Herb used for mental health,Nardostachys jatamansi,Dravya
N0038,Tagara,Herb used for sleep disorders,Valeriana wallichii,Dravya
N0039,Kumari,Herb used for liver and skin health,Aloe vera,Dravya
N0040,Amrita Ghrita,Medicated ghee used in rejuvenation,Guduchi ghrita,Formulation
N0041,Brahmi Ghrita,Medicated ghee for cognition,Brahmi based ghrita,Formulation
N0042,Kalyanaka Ghrita,Formulation for mental disorders,Medicated ghee,Formulation
N0043,Taila Abhyanga,Oil massage therapy,Ayurvedic massage,Therapy
N0044,Shirodhara,Therapy involving pouring oil on forehead,Head oil therapy,Therapy
